dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude,Year
2000-01-01,20.781,0.318,Ahmadabad,India,23.31N,72.52E,2000
2000-02-01,21.246,0.189,Ahmadabad,India,23.31N,72.52E,2000
2000-03-01,26.565,0.261,Ahmadabad,India,23.31N,72.52E,2000
2000-04-01,32.275,0.299,Ahmadabad,India,23.31N,72.52E,2000
2000-05-01,32.847,0.265,Ahmadabad,India,23.31N,72.52E,2000
2000-06-01,32.49,0.598,Ahmadabad,India,23.31N,72.52E,2000
2000-07-01,28.678,0.17600000000000002,Ahmadabad,India,23.31N,72.52E,2000
2000-08-01,28.616,0.404,Ahmadabad,India,23.31N,72.52E,2000
2000-09-01,29.087,0.254,Ahmadabad,India,23.31N,72.52E,2000
2000-10-01,29.285,0.628,Ahmadabad,India,23.31N,72.52E,2000
2000-11-01,25.576999999999998,0.86,Ahmadabad,India,23.31N,72.52E,2000
2000-12-01,21.785,0.523,Ahmadabad,India,23.31N,72.52E,2000
2001-01-01,19.77,0.512,Ahmadabad,India,23.31N,72.52E,2001
2001-02-01,22.438,0.5710000000000001,Ahmadabad,India,23.31N,72.52E,2001
2001-03-01,27.198,0.67,Ahmadabad,India,23.31N,72.52E,2001
2001-04-01,31.034,0.262,Ahmadabad,India,23.31N,72.52E,2001
2001-05-01,33.358000000000004,0.345,Ahmadabad,India,23.31N,72.52E,2001
2001-06-01,30.717,0.672,Ahmadabad,India,23.31N,72.52E,2001
2001-07-01,27.73,0.321,Ahmadabad,India,23.31N,72.52E,2001
2001-08-01,27.893,0.205,Ahmadabad,India,23.31N,72.52E,2001
2001-09-01,29.49,0.261,Ahmadabad,India,23.31N,72.52E,2001
2001-10-01,29.073,0.277,Ahmadabad,India,23.31N,72.52E,2001
2001-11-01,25.516,0.29600000000000004,Ahmadabad,India,23.31N,72.52E,2001
2001-12-01,22.16,1.125,Ahmadabad,India,23.31N,72.52E,2001
2002-01-01,19.831,0.85,Ahmadabad,India,23.31N,72.52E,2002
2002-02-01,22.333,0.845,Ahmadabad,India,23.31N,72.52E,2002
2002-03-01,27.885,0.974,Ahmadabad,India,23.31N,72.52E,2002
2002-04-01,32.02,0.116,Ahmadabad,India,23.31N,72.52E,2002
2002-05-01,34.317,0.446,Ahmadabad,India,23.31N,72.52E,2002
2002-06-01,32.522,0.14300000000000002,Ahmadabad,India,23.31N,72.52E,2002
